"admin3","admin3_name","hdx_pcode"
"13433","MAHATES","COL-13433"
"13440","MARGARITA","COL-13440"
"13442","MARIA LA BAJA","COL-13442"
"13458","MONTECRISTO","COL-13458"
"13468","MOMPOS","COL-13468"
"13473","MORALES","COL-13473"
"13490","NOROSI","COL-13490"
"13549","PINILLOS","COL-13549"
"13580","REGIDOR","COL-13580"
"13600","RIO VIEJO","COL-13600"
"13620","SAN CRISTOBAL","COL-13620"
"13647","SAN ESTANISLAO","COL-13647"
"13650","SAN FERNANDO","COL-13650"
"13654","SAN JACINTO","COL-13654"
"13655","SAN JACINTO DEL CAUCA","COL-13655"
"13657","SAN JUAN NEPOMUCENO","COL-13657"
"13667","SAN MARTIN DE LOBA","COL-13667"
"13670","SAN PABLO","COL-13670"
"13673","SANTA CATALINA","COL-13673"
"13683","SANTA ROSA","COL-13683"
"13688","SANTA ROSA DEL SUR","COL-13688"
"13744","SIMITI","COL-13744"
"13760","SOPLAVIENTO","COL-13760"
"13780","TALAIGUA NUEVO","COL-13780"
"13810","TIQUISIO","COL-13810"
"13836","TURBACO","COL-13836"
"13838","TURBANA","COL-13838"
"13873","VILLANUEVA","COL-13873"
"13894","ZAMBRANO","COL-13894"
"15001","TUNJA","COL-15001"
"15022","ALMEIDA","COL-15022"
"15047","AQUITANIA","COL-15047"
"15051","ARCABUCO","COL-15051"
"15087","BELEN","COL-15087"
"15090","BERBEO","COL-15090"
"15092","BETEITIVA","COL-15092"
"15097","BOAVITA","COL-15097"
"15104","BOYACA","COL-15104"
"15106","BRICEÑO","COL-15106"
"15109","BUENAVISTA","COL-15109"
"15114","BUSBANZA","COL-15114"
"15131","CALDAS","COL-15131"
"15135","CAMPOHERMOSO","COL-15135"
"15162","CERINZA","COL-15162"
"15172","CHINAVITA","COL-15172"
"15176","CHIQUINQUIRA","COL-15176"
"15180","CHISCAS","COL-15180"
"15183","CHITA","COL-15183"
"15185","CHITARAQUE","COL-15185"
"15187","CHIVATA","COL-15187"
"15189","CIENEGA","COL-15189"
"15204","COMBITA","COL-15204"
"15212","COPER","COL-15212"
"15215","CORRALES","COL-15215"
"15218","COVARACHIA","COL-15218"
"15223","CUBARA","COL-15223"
"15224","CUCAITA","COL-15224"
"15226","CUITIVA","COL-15226"
"15232","CHIQUIZA","COL-15232"
"15236","CHIVOR","COL-15236"
"15238","DUITAMA","COL-15238"
"15244","EL COCUY","COL-15244"
"15248","EL ESPINO","COL-15248"
"15272","FIRAVITOBA","COL-15272"
"15276","FLORESTA","COL-15276"
"15293","GACHANTIVA","COL-15293"
"15296","GAMEZA","COL-15296"
"15299","GARAGOA","COL-15299"
"15317","GUACAMAYAS","COL-15317"
"15322","GUATEQUE","COL-15322"
"15325","GUAYATA","COL-15325"
"15332","GUICAN","COL-15332"
"15362","IZA","COL-15362"
"15367","JENESANO","COL-15367"
"15368","JERICO","COL-15368"
"15377","LABRANZAGRANDE","COL-15377"
"15380","LA CAPILLA","COL-15380"
"15401","LA VICTORIA","COL-15401"
"15403","LA UVITA","COL-15403"
"15407","VILLA DE LEYVA","COL-15407"
"15425","MACANAL","COL-15425"
"15442","MARIPI","COL-15442"
"15455","MIRAFLORES","COL-15455"
"15464","MONGUA","COL-15464"
"15466","MONGUI","COL-15466"
"15469","MONIQUIRA","COL-15469"
"15476","MOTAVITA","COL-15476"
"15480","MUZO","COL-15480"
"15491","NOBSA","COL-15491"
"15494","NUEVO COLON","COL-15494"
"15500","OICATA","COL-15500"
"15507","OTANCHE","COL-15507"
"15511","PACHAVITA","COL-15511"
"15514","PAEZ","COL-15514"
"15516","PAIPA","COL-15516"
"15518","PAJARITO","COL-15518"
"15522","PANQUEBA","COL-15522"
"15531","PAUNA","COL-15531"
"15533","PAYA","COL-15533"
"15537","PAZ DE RIO","COL-15537"
"15542","PESCA","COL-15542"
"15550","PISBA","COL-15550"
"15572","PUERTO BOYACA","COL-15572"
"15580","QUIPAMA","COL-15580"
"15599","RAMIRIQUI","COL-15599"
"15600","RAQUIRA","COL-15600"
"15621","RONDON","COL-15621"
"15632","SABOYA","COL-15632"
"15638","SACHICA","COL-15638"
"15646","SAMACA","COL-15646"
"15660","SAN EDUARDO","COL-15660"
"15664","SAN JOSE DE PARE","COL-15664"
"15667","SAN LUIS DE GACENO","COL-15667"
"15673","SAN MATEO","COL-15673"
"15676","SAN MIGUEL DE SEMA","COL-15676"
"15681","SAN PABLO BORBUR","COL-15681"
"15686","SANTANA","COL-15686"
"15690","SANTA MARIA","COL-15690"
"15693","SAN ROSA VITERBO","COL-15693"
"15696","SANTA SOFIA","COL-15696"
"15720","SATIVANORTE","COL-15720"
"15723","SATIVASUR","COL-15723"
"15740","SIACHOQUE","COL-15740"
"15753","SOATA","COL-15753"
"15755","SOCOTA","COL-15755"
"15757","SOCHA","COL-15757"
"15759","SOGAMOSO","COL-15759"
"15761","SOMONDOCO","COL-15761"
"15762","SORA","COL-15762"
"15763","SOTAQUIRA","COL-15763"
"15764","SORACA","COL-15764"
"15774","SUSACON","COL-15774"
"15776","SUTAMARCHAN","COL-15776"
"15778","SUTATENZA","COL-15778"
"15790","TASCO","COL-15790"
"15798","TENZA","COL-15798"
"15804","TIBANA","COL-15804"
"15806","TIBASOSA","COL-15806"
"15808","TINJACA","COL-15808"
"15810","TIPACOQUE","COL-15810"
"15814","TOCA","COL-15814"
"15816","TOGUI","COL-15816"
"15820","TOPAGA","COL-15820"
"15822","TOTA","COL-15822"
"15832","TUNUNGUA","COL-15832"
"15835","TURMEQUE","COL-15835"
"15837","TUTA","COL-15837"
"15839","TUTAZA","COL-15839"
"15842","UMBITA","COL-15842"
"15861","VENTAQUEMADA","COL-15861"
"15879","VIRACACHA","COL-15879"
"15897","ZETAQUIRA","COL-15897"
"17001","MANIZALES","COL-17001"
"17013","AGUADAS","COL-17013"
"17042","ANSERMA","COL-17042"
"17050","ARANZAZU","COL-17050"
"17088","BELALCAZAR","COL-17088"
"17174","CHINCHINA","COL-17174"
"17272","FILADELFIA","COL-17272"
"17380","LA DORADA","COL-17380"
"17388","LA MERCED","COL-17388"
"17433","MANZANARES","COL-17433"
"17442","MARMATO","COL-17442"
"17444","MARQUETALIA","COL-17444"
"17446","MARULANDA","COL-17446"
"17486","NEIRA","COL-17486"
"17495","NORCASIA","COL-17495"
"17513","PACORA","COL-17513"
"17524","PALESTINA","COL-17524"
"17541","PENSILVANIA","COL-17541"
"17614","RIOSUCIO","COL-17614"
"17616","RISARALDA","COL-17616"
"17653","SALAMINA","COL-17653"
"17662","SAMANA","COL-17662"
"17665","SAN JOSE","COL-17665"
"17777","SUPIA","COL-17777"
"17867","VICTORIA","COL-17867"
"17873","VILLAMARIA","COL-17873"
"17877","VITERBO","COL-17877"
"18001","FLORENCIA","COL-18001"
"18029","ALBANIA","COL-18029"
"18094","BELEN DE LOS ANDAQUIES","COL-18094"
"18150","CARTAGENA DEL CHAIRA","COL-18150"
"18205","CURRILLO","COL-18205"
"18247","EL DONCELLO","COL-18247"
"18256","EL PAUJIL","COL-18256"
"18410","LA MONTAÑITA","COL-18410"
"18460","MILAN","COL-18460"
"18479","MORELIA","COL-18479"
"18592","PUERTO RICO","COL-18592"
"18610","SAN JOSE DEL FRAGUA","COL-18610"
"18753","SAN VICENTE DEL CAGUAN","COL-18753"
"18756","SOLANO","COL-18756"
"18785","SOLITA","COL-18785"
"18860","VALPARAISO","COL-18860"
"19001","POPAYAN","COL-19001"
"19022","ALMAGUER","COL-19022"
"19050","ARGELIA","COL-19050"
"19075","BALBOA","COL-19075"
