"admin3","admin3_name","hdx_pcode"
"52233","CUMBITARA","COL-52233"
"52240","CHACHAGUI","COL-52240"
"52250","EL CHARCO","COL-52250"
"52254","EL PEÑOL","COL-52254"
"52256","EL ROSARIO","COL-52256"
"52258","EL TABLON DE GOMEZ","COL-52258"
"52260","EL TAMBO","COL-52260"
"52287","FUNES","COL-52287"
"52317","GUACHUCAL","COL-52317"
"52320","GUAITARILLA","COL-52320"
"52323","GUALMATAN","COL-52323"
"52352","ILES","COL-52352"
"52354","IMUES","COL-52354"
"52356","IPIALES","COL-52356"
"52378","LA CRUZ","COL-52378"
"52381","LA FLORIDA","COL-52381"
"52385","LA LLANADA","COL-52385"
"52390","LA TOLA","COL-52390"
"52399","LA UNION","COL-52399"
"52405","LEIVA","COL-52405"
"52411","LINARES","COL-52411"
"52418","LOS ANDES","COL-52418"
"52427","MAGUI","COL-52427"
"52435","MALLAMA","COL-52435"
"52473","MOSQUERA","COL-52473"
"52480","NARIÑO","COL-52480"
"52490","OLAYA HERRERA","COL-52490"
"52506","OSPINA","COL-52506"
"52520","FRANCISCO PIZARRO","COL-52520"
"52540","POLICARPA","COL-52540"
"52560","POTOSI","COL-52560"
"52565","PROVIDENCIA","COL-52565"
"52573","PUERRES","COL-52573"
"52585","PUPIALES","COL-52585"
"52612","RICAURTE","COL-52612"
"52621","ROBERTO PAYAN","COL-52621"
"52678","SAMANIEGO","COL-52678"
"52683","SANDONA","COL-52683"
"52685","SAN BERNARDO","COL-52685"
"52687","SAN LORENZO","COL-52687"
"52693","SAN PABLO","COL-52693"
"52694","SAN PEDRO DE CARTAGO","COL-52694"
"52696","SANTA BARBARA","COL-52696"
"52699","SANTACRUZ","COL-52699"
"52720","SAPUYES","COL-52720"
"52786","TAMINANGO","COL-52786"
"52788","TANGUA","COL-52788"
"52835","TUMACO","COL-52835"
"52838","TUQUERRES","COL-52838"
"52885","YACUANQUER","COL-52885"
"54001","CUCUTA","COL-54001"
"54003","ABREGO","COL-54003"
"54051","ARBOLEDAS","COL-54051"
"54099","BOCHALEMA","COL-54099"
"54109","BUCARASICA","COL-54109"
"54125","CACOTA","COL-54125"
"54128","CACHIRA","COL-54128"
"54172","CHINACOTA","COL-54172"
"54174","CHITAGA","COL-54174"
"54206","CONVENCION","COL-54206"
"54223","CUCUTILLA","COL-54223"
"54239","DURANIA","COL-54239"
"54245","EL CARMEN","COL-54245"
"54250","EL TARRA","COL-54250"
"54261","EL ZULIA","COL-54261"
"54313","GRAMALOTE","COL-54313"
"54344","HACARI","COL-54344"
"54347","HERRAN","COL-54347"
"54377","LABATECA","COL-54377"
"54385","LA ESPERANZA","COL-54385"
"54398","LA PLAYA","COL-54398"
"54405","LOS PATIOS","COL-54405"
"54418","LOURDES","COL-54418"
"54480","MUTISCUA","COL-54480"
"54498","OCAÑA","COL-54498"
"54518","PAMPLONA","COL-54518"
"54520","PAMPLONITA","COL-54520"
"54553","PUERTO SANTANDER","COL-54553"
"54599","RAGONVALIA","COL-54599"
"54660","SALAZAR","COL-54660"
"54670","SAN CALIXTO","COL-54670"
"54673","SAN CAYETANO","COL-54673"
"54680","SANTIAGO","COL-54680"
"54720","SARDINATA","COL-54720"
"54743","SILOS","COL-54743"
"54800","TEORAMA","COL-54800"
"54810","TIBU","COL-54810"
"54820","TOLEDO","COL-54820"
"54871","VILLA CARO","COL-54871"
"54874","VILLA DEL ROSARIO","COL-54874"
"63001","ARMENIA","COL-63001"
"63111","BUENAVISTA","COL-63111"
"63130","CALARCA","COL-63130"
"63190","CIRCASIA","COL-63190"
"63212","CORDOBA","COL-63212"
"63272","FILANDIA","COL-63272"
"63302","GENOVA","COL-63302"
"63401","LA TEBAIDA","COL-63401"
"63470","MONTENEGRO","COL-63470"
"63548","PIJAO","COL-63548"
"63594","QUIMBAYA","COL-63594"
"63690","SALENTO","COL-63690"
"66001","PEREIRA","COL-66001"
"66045","APIA","COL-66045"
"66075","BALBOA","COL-66075"
"66088","BELEN DE UMBRIA","COL-66088"
"66170","DOS QUEBRADAS","COL-66170"
"66318","GUATICA","COL-66318"
"66383","LA CELIA","COL-66383"
"66400","LA VIRGINIA","COL-66400"
"66440","MARSELLA","COL-66440"
"66456","MISTRATO","COL-66456"
"66572","PUEBLO RICO","COL-66572"
"66594","QUINCHIA","COL-66594"
"66682","SANTA ROSA DE CABAL","COL-66682"
"66687","SANTUARIO","COL-66687"
"68001","BUCARAMANGA","COL-68001"
"68013","AGUADA","COL-68013"
"68020","ALBANIA","COL-68020"
"68051","ARATOCA","COL-68051"
"68077","BARBOSA","COL-68077"
"68079","BARICHARA","COL-68079"
"68081","BARRANCABERMEJA","COL-68081"
"68092","BETULIA","COL-68092"
"68101","BOLIVAR","COL-68101"
"68121","CABRERA","COL-68121"
"68132","CALIFORNIA","COL-68132"
"68147","CAPITANEJO","COL-68147"
"68152","CARCASI","COL-68152"
"68160","CEPITA","COL-68160"
"68162","CERRITO","COL-68162"
"68167","CHARALA","COL-68167"
"68169","CHARTA","COL-68169"
"68176","CHIMA","COL-68176"
"68179","CHIPATA","COL-68179"
"68190","CIMITARRA","COL-68190"
"68207","CONCEPCION","COL-68207"
"68209","CONFINES","COL-68209"
"68211","CONTRATACION","COL-68211"
"68217","COROMORO","COL-68217"
"68229","CURITI","COL-68229"
"68235","EL CARMEN DE CHUCURI","COL-68235"
"68245","EL GUACAMAYO","COL-68245"
"68250","EL PEÑON","COL-68250"
"68255","EL PLAYON","COL-68255"
"68264","ENCINO","COL-68264"
"68266","ENCISO","COL-68266"
"68271","FLORIAN","COL-68271"
"68276","FLORIDABLANCA","COL-68276"
"68296","GALAN","COL-68296"
"68298","GAMBITA","COL-68298"
"68307","GIRON","COL-68307"
"68318","GUACA","COL-68318"
"68320","GUADALUPE","COL-68320"
"68322","GUAPOTA","COL-68322"
"68324","GUAVATA","COL-68324"
"68327","GUEPSA","COL-68327"
"68344","HATO","COL-68344"
"68368","JESUS MARIA","COL-68368"
"68370","JORDAN","COL-68370"
"68377","LA BELLEZA","COL-68377"
"68385","LANDAZURI","COL-68385"
"68397","LA PAZ","COL-68397"
"68406","LEBRIJA","COL-68406"
"68418","LOS SANTOS","COL-68418"
"68425","MACARAVITA","COL-68425"
"68432","MALAGA","COL-68432"
"68444","MATANZA","COL-68444"
"68464","MOGOTES","COL-68464"
"68468","MOLAGAVITA","COL-68468"
"68498","OCAMONTE","COL-68498"
"68500","OIBA","COL-68500"
"68502","ONZAGA","COL-68502"
"68522","PALMAR","COL-68522"
"68524","PALMAS DEL SOCORRO","COL-68524"
"68533","PARAMO","COL-68533"
"68547","PIEDECUESTA","COL-68547"
"68549","PINCHOTE","COL-68549"
"68572","PUENTE NACIONAL","COL-68572"
"68573","PUERTO PARRA","COL-68573"
"68575","PUERTO WILCHES","COL-68575"
"68615","RIONEGRO","COL-68615"
"68655","SABANA DE TORRES","COL-68655"
"68669","SAN ANDRES","COL-68669"
"68673","SAN BENITO","COL-68673"
"68679","SAN GIL","COL-68679"
"68682","SAN JOAQUIN","COL-68682"
"68684","SAN JOSE DE MIRANDA","COL-68684"
"68686","SAN MIGUEL","COL-68686"
"68689","SAN VICENTE DE CHUCURI","COL-68689"
"68705","SANTA BARBARA","COL-68705"
"68720","SANTA HELENA DEL OPON","COL-68720"
"68745","SIMACOTA","COL-68745"
"68755","SOCORRO","COL-68755"
"68770","SUAITA","COL-68770"
"68773","SUCRE","COL-68773"
"68780","SURATA","COL-68780"
"68820","TONA","COL-68820"
"68855","VALLE DE SAN JOSE","COL-68855"
"68861","VELEZ","COL-68861"
"68867","VETAS","COL-68867"
"68872","VILLANUEVA","COL-68872"
"68895","ZAPATOCA","COL-68895"
"70001","SINCELEJO","COL-70001"
"70110","BUENAVISTA","COL-70110"
"70124","CAIMITO","COL-70124"
"70204","COLOSO","COL-70204"
"70215","COROZAL","COL-70215"
"70221","COVEÑAS","COL-70221"
"70230","CHALAN","COL-70230"
"70233","EL ROBLE","COL-70233"
"70235","GALERAS","COL-70235"
"70265","GUARANDA","COL-70265"
"70400","LA UNION","COL-70400"
"70418","LOS PALMITOS","COL-70418"
"70429","MAJAGUAL","COL-70429"
"70473","MORROA","COL-70473"
"70508","OVEJAS","COL-70508"
"70523","PALMITO","COL-70523"
"70670","SAMPUES","COL-70670"
"70678","SAN BENITO ABAD","COL-70678"
"70702","SAN JUAN BETULIA","COL-70702"
"70708","SAN MARCOS","COL-70708"
"70713","SAN ONOFRE","COL-70713"
"70717","SAN PEDRO","COL-70717"
"70742","SINCE","COL-70742"
"70771","SUCRE","COL-70771"
"70820","SANTIAGO DE TOLU","COL-70820"
"70823","TOLU VIEJO","COL-70823"
"73001","IBAGUE","COL-73001"
"73024","ALPUJARRA","COL-73024"
"73026","ALVARADO","COL-73026"
"73030","AMBALEMA","COL-73030"
"73043","ANZOATEGUI","COL-73043"
"73055","ARMERO GUAYABAL","COL-73055"
"73067","ATACO","COL-73067"
"73124","CAJAMARCA","COL-73124"
"73148","CARMEN DE APICALA","COL-73148"
"73152","CASABIANCA","COL-73152"
"73168","CHAPARRAL","COL-73168"
"73200","COELLO","COL-73200"
"73217","COYAIMA","COL-73217"
"73226","CUNDAY","COL-73226"
"73236","DOLORES","COL-73236"
"73268","ESPINAL","COL-73268"
"73270","FALAN","COL-73270"
"73275","FLANDES","COL-73275"
"73283","FRESNO","COL-73283"
"73319","GUAMO","COL-73319"
"73347","HERVEO","COL-73347"
"73349","HONDA","COL-73349"
"73352","ICONONZO","COL-73352"
"73408","LERIDA","COL-73408"
"73411","LIBANO","COL-73411"
"73443","MARIQUITA","COL-73443"
"73449","MELGAR","COL-73449"
"73461","MURILLO","COL-73461"
"73483","NATAGAIMA","COL-73483"
"73504","ORTEGA","COL-73504"
"73520","PALOCABILDO","COL-73520"
"73547","PIEDRAS","COL-73547"
"73555","PLANADAS","COL-73555"
"73563","PRADO","COL-73563"
"73585","PURIFICACION","COL-73585"
"73616","RIOBLANCO","COL-73616"
"73622","RONCESVALLES","COL-73622"
"73624","ROVIRA","COL-73624"
"73671","SALDAÑA","COL-73671"
"73675","SAN ANTONIO","COL-73675"
"73678","SAN LUIS","COL-73678"
"73686","SANTA ISABEL","COL-73686"
"73770","SUAREZ","COL-73770"
"73854","VALLE DE SAN JUAN","COL-73854"
"73861","VENADILLO","COL-73861"
"73870","VILLAHERMOSA","COL-73870"
"73873","VILLARRICA","COL-73873"
"76001","CALI","COL-76001"
"76020","ALCALA","COL-76020"
"76036","ANDALUCIA","COL-76036"
"76041","ANSERMANUEVO","COL-76041"
"76054","ARGELIA","COL-76054"
"76100","BOLIVAR","COL-76100"
"76109","BUENAVENTURA","COL-76109"
"76111","BUGA","COL-76111"
"76113","BUGALAGRANDE","COL-76113"
"76122","CAICEDONIA","COL-76122"
"76126","CALIMA","COL-76126"
"76130","CANDELARIA","COL-76130"
"76147","CARTAGO","COL-76147"
"76233","DAGUA","COL-76233"
"76243","EL AGUILA","COL-76243"
"76246","EL CAIRO","COL-76246"
"76248","EL CERRITO","COL-76248"
"76250","EL DOVIO","COL-76250"
"76275","FLORIDA","COL-76275"
"76306","GINEBRA","COL-76306"
"76318","GUACARI","COL-76318"
"76364","JAMUNDI","COL-76364"
"76377","LA CUMBRE","COL-76377"
"76400","LA UNION","COL-76400"
"76403","LA VICTORIA","COL-76403"
"76497","OBANDO","COL-76497"
"76520","PALMIRA","COL-76520"
"76563","PRADERA","COL-76563"
"76606","RESTREPO","COL-76606"
"76616","RIOFRIO","COL-76616"
"76622","ROLDANILLO","COL-76622"
"76670","SAN PEDRO","COL-76670"
"76736","SEVILLA","COL-76736"
"76823","TORO","COL-76823"
"76828","TRUJILLO","COL-76828"
"76834","TULUA","COL-76834"
"76845","ULLOA","COL-76845"
"76863","VERSALLES","COL-76863"
"76869","VIJES","COL-76869"
"76890","YOTOCO","COL-76890"
"76892","YUMBO","COL-76892"
"76895","ZARZAL","COL-76895"
"81001","ARAUCA","COL-81001"
"81065","ARAUQUITA","COL-81065"
"81220","CRAVO NORTE","COL-81220"
"81300","FORTUL","COL-81300"
"81591","PUERTO RONDON","COL-81591"
"81736","SARAVENA","COL-81736"
"81794","TAME","COL-81794"
"85001","YOPAL","COL-85001"
"85010","AGUAZUL","COL-85010"
"85015","CHAMEZA","COL-85015"
"85125","HATO COROZAL","COL-85125"
"85136","LA SALINA","COL-85136"
"85139","MANI","COL-85139"
"85162","MONTERREY","COL-85162"
"85225","NUNCHIA","COL-85225"
"85230","OROCUE","COL-85230"
"85250","PAZ DE ARIPORO","COL-85250"
"85263","PORE","COL-85263"
"85279","RECETOR","COL-85279"
"85300","SABANALARGA","COL-85300"
"85315","SACAMA","COL-85315"
"85325","SAN LUIS DE PALENQUE","COL-85325"
"85400","TAMARA","COL-85400"
"85410","TAURAMENA","COL-85410"
"85430","TRINIDAD","COL-85430"
"85440","VILLANUEVA","COL-85440"
"86001","MOCOA","COL-86001"
"86219","COLON","COL-86219"
"86320","ORITO","COL-86320"
"86568","PUERTO ASIS","COL-86568"
"86569","PUERTO CAICEDO","COL-86569"
"86571","PUERTO GUZMAN","COL-86571"
"86573","LEGUIZAMO","COL-86573"
"86749","SIBUNDOY","COL-86749"
"86755","SAN FRANCISCO","COL-86755"
"86757","SAN MIGUEL","COL-86757"
"86760","SANTIAGO","COL-86760"
"86865","VALLE DEL GUAMUEZ","COL-86865"
"86885","VILLAGARZON","COL-86885"
"88001","SAN ANDRES","COL-88001"
"88564","PROVIDENCIA","COL-88564"
"91001","LETICIA","COL-91001"
"91263","EL ENCANTO","COL-91263"
"91405","LA CHORRERA","COL-91405"
"91407","LA PEDRERA","COL-91407"
"91430","LA VICTORIA","COL-91430"
"91460","MIRITI - PARANA","COL-91460"
"91530","PUERTO ALEGRIA","COL-91530"
"91536","PUERTO ARICA","COL-91536"
"91540","PUERTO NARIÑO","COL-91540"
"91669","PUERTO SANTANDER","COL-91669"
"91798","TARAPACA","COL-91798"
"94001","INIRIDA","COL-94001"
"94343","BARRANCO MINA","COL-94343"
"94663","MAPIRIPANA","COL-94663"
"94883","SAN FELIPE","COL-94883"
"94884","PUERTO COLOMBIA","COL-94884"
"94885","LA GUADALUPE","COL-94885"
"94886","CACAHUAL","COL-94886"
"94887","PANA PANA","COL-94887"
"94888","MORICHAL","COL-94888"
"95001","SAN JOSE DEL GUAVIARE","COL-95001"
"95015","CALAMAR","COL-95015"
"95025","EL RETORNO","COL-95025"
"95200","MIRAFLORES","COL-95200"
"97001","MITU","COL-97001"
"97161","CARURU","COL-97161"
"97511","PACOA","COL-97511"
"97666","TARAIRA","COL-97666"
"97777","PAPUNAHUA","COL-97777"
"97889","YAVARATE","COL-97889"
"99001","PUERTO CARREÑO","COL-99001"
"99524","LA PRIMAVERA","COL-99524"
"99624","SANTA ROSALIA","COL-99624"
"99773","CUMARIBO","COL-99773"
