"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05088018","EL PINAR","COL-"
"05088020","EL ALBERGUE","COL-"
"05088021","HATO VIEJO","COL-"
"05088022","LA CHINA","COL-"
"05088023","LA UNION","COL-"
"05091000","BETANIA","COL-"
"05091003","SAN LUIS","COL-"
"05093000","BETULIA","COL-"
"05093001","ALTAMIRA","COL-"
"05101000","CIUDAD BOLÍVAR","COL-"
"05101002","SAN BERNARDO DE LOS FARALLONES","COL-"
"05101006","SAN GREGORIO","COL-"
"05101007","LA LINDA","COL-"
"05101008","VILLA ALEGRÍA","COL-"
"05107000","BRICEÑO","COL-"
"05107001","BERLON (PUEBLO NUEVO)","COL-"
"05107002","EL ROBLAL","COL-"
"05107003","LAS AURAS","COL-"
"05113000","BURITICÁ","COL-"
"05113001","EL NARANJO","COL-"
"05113002","GUARCO","COL-"
"05113003","TABACAL","COL-"
"05113004","URARCO","COL-"
"05113005","LA ANGELINA","COL-"
"05120000","CÁCERES","COL-"
"05120002","EL JARDÍN (TAMANÁ)","COL-"
"05120003","GUARUMO","COL-"
"05120004","MANIZALES","COL-"
"05120006","PUERTO BÉLGICA","COL-"
"05120010","PIAMONTE","COL-"
"05120011","NUEVA ESPERANZA","COL-"
"05120012","RÍO MAN","COL-"
"05125000","CAICEDO","COL-"
"05125001","ASESO","COL-"
"05125002","LA SALAZAR","COL-"
"05129000","CALDAS","COL-"
"05129001","EL CAÑO","COL-"
"05129002","LA RAYA","COL-"
"05129004","LA MIEL","COL-"
"05129005","LA CORRALA","COL-"
"05129006","PRIMAVERA","COL-"
"05129007","EL RAIZAL","COL-"
"05129008","LA CLARA","COL-"
"05129009","LA QUIEBRA","COL-"
"05129010","LA SALADA PARTE BAJA","COL-"
"05129011","LA TOLVA","COL-"
"05129012","LA VALERIA","COL-"
"05134000","CAMPAMENTO","COL-"
"05134001","LA CHIQUITA","COL-"
"05134002","LA SOLITA","COL-"
"05134003","LLANADAS","COL-"
"05134005","MORROPELON","COL-"
"05134008","LOS CHORROS","COL-"
"05138000","CAÑASGORDAS","COL-"
"05138001","BUENOS AIRES","COL-"
"05138002","CESTILLAL","COL-"
"05138003","JUNTAS DE URAMITA","COL-"
"05138005","SAN PASCUAL","COL-"
"05138006","VERSALLES","COL-"
"05138007","LA BALSA","COL-"
"05138008","EL MADERO","COL-"
"05142000","CARACOLÍ","COL-"
"05142001","SARDINAS","COL-"
"05142002","CASCARON","COL-"
"05142003","EL BAGRE","COL-"
"05142004","LAS AGUILAS","COL-"
"05145000","CARAMANTA","COL-"
"05145001","ALEGRÍAS","COL-"
"05145002","SUCRE","COL-"
"05145003","BARRO BLANCO","COL-"
"05145004","CHIRAPOTO","COL-"
"05147000","CAREPA","COL-"
"05147003","PIEDRAS BLANCAS","COL-"
"05147004","ZUNGO EMBARCADERO - PUEBLO NUEVO","COL-"
"05147005","ZUNGO EMBARCADERO - 11 DE NOVIEMBRE","COL-"
"05147006","CASA VERDE","COL-"
"05147007","EL ENCANTO","COL-"
"05147008","ZUNGO EMBARCADERO - 28 DE OCTUBRE","COL-"
"05148000","EL CARMEN DE VIBORAL","COL-"
"05148003","AGUAS CLARAS","COL-"
"05148005","LA CHAPA","COL-"
"05148008","LA AURORA - LAS BRISAS","COL-"
"05150000","CAROLINA","COL-"
"05154000","CAUCASIA","COL-"
"05154003","CUTURÚ","COL-"
"05154006","MARGENTO","COL-"
"05154007","PUERTO COLOMBIA","COL-"
"05154008","PALANCA","COL-"
"05154009","PALOMAR","COL-"
"05154012","SANTA ROSITA","COL-"
"05154013","CARACOLO","COL-"
"05154020","PUERTO TRIANA","COL-"
"05154022","LA ILUSIÓN","COL-"
"05154023","CACERÍ","COL-"
"05154024","EL PANDO","COL-"
"05154025","CAMPO ALEGRE","COL-"
"05154026","EL CHINO","COL-"
"05154027","LA ESMERALDA","COL-"
"05154028","LA UNION","COL-"
"05154030","PUERTO ESPAÑA","COL-"
"05154031","VILLA DEL SOCORRO","COL-"
"05172000","CHIGORODÓ","COL-"
"05172003","BARRANQUILLITA","COL-"
"05172007","GUAPA CARRETERAS","COL-"
"05172013","JURADO","COL-"
"05190000","CISNEROS","COL-"
"05190002","FATIMA","COL-"
"05190004","EL LIMON","COL-"
"05197000","COCORNÁ","COL-"
"05197001","AGUA LINDA","COL-"
"05197005","LA PIÑUELA","COL-"
"05197007","LAS CRUCES","COL-"
"05197009","LA PRIMAVERA","COL-"
"05197010","LA FLORIDA","COL-"
"05197011","LA GRANJA","COL-"
"05197012","PAILANIA","COL-"
"05206000","CONCEPCIÓN","COL-"
"05209000","CONCORDIA","COL-"
"05209001","EL SOCORRO","COL-"
"05209006","EL GOLPE","COL-"
"05209007","SALAZAR","COL-"
"05212000","COPACABANA","COL-"
"05212005","SALADO","COL-"
"05212008","CABUYAL","COL-"
"05212011","ZARZAL (LA LUZ)","COL-"
"05212014","ALVARADO","COL-"
"05212018","EL CONVENTO","COL-"
"05212019","EL NORAL","COL-"
"05234000","DABEIBA","COL-"
"05234003","GALILEA","COL-"
"05234004","SAN JOSÉ DE URAMA (URAMAGRANDE)","COL-"
"05234007","CARRA","COL-"
"05234008","ARMENIA - CAMPARRUSIA","COL-"
"05234009","LLANO GRANDE","COL-"
"05234010","LAS CRUCES DE URAMA","COL-"
"05234011","ARENERA","COL-"
"05234012","CHIMIANDO","COL-"
"05234014","EL BOTÓN","COL-"
"05234015","CAMPARRUSIA","COL-"
