"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"18410010","PUERTO GAITAN","COL-"
"18410012","REINA BAJA","COL-"
"18460000","MILÁN","COL-"
"18460001","SAN ANTONIO DE GETUCHA","COL-"
"18460003","MATICURU - GRANARIO","COL-"
"18460004","LA RASTRA","COL-"
"18460005","REMOLINOS DE ARICUNTÍ","COL-"
"18460007","LA ILUSION","COL-"
"18460008","AGUA BLANCA","COL-"
"18460009","REMOLINO BAJO ORTEGUAZA","COL-"
"18479000","MORELIA","COL-"
"18592000","PUERTO RICO","COL-"
"18592002","RIONEGRO","COL-"
"18592003","LUSITANIA","COL-"
"18592004","SANTANA RAMOS","COL-"
"18592005","LA ESMERALDA","COL-"
"18592006","LA AGUILILLA","COL-"
"18610000","SAN JOSÉ DEL FRAGUA","COL-"
"18610001","FRAGUITA","COL-"
"18610002","YURAYACO","COL-"
"18610003","SABALETA","COL-"
"18610004","CRISTAL","COL-"
"18753000","SAN VICENTE DEL CAGUÁN","COL-"
"18753001","CIUDAD YARO","COL-"
"18753002","GUACAMAYAS","COL-"
"18753003","BALSILLAS (SAN LUIS DEL OSO)","COL-"
"18753004","CAMPO HERMOSO","COL-"
"18753006","EL RECREO","COL-"
"18753007","TRES ESQUINAS","COL-"
"18753009","PUERTO BETANIA","COL-"
"18753010","GIBRALTAR","COL-"
"18753011","LOS POZOS","COL-"
"18753012","SANTA ROSA","COL-"
"18753013","TRONCALES","COL-"
"18753015","GUAYABAL","COL-"
"18753016","LA SOMBRA","COL-"
"18753017","SAN JUAN DE LOZADA","COL-"
"18753018","ALTO PALERMO","COL-"
"18753019","CRISTO REY","COL-"
"18753020","DELICIAS","COL-"
"18753021","EL RUBY","COL-"
"18753022","LA CRISTALINA","COL-"
"18753023","LA TUNIA (CAQUETANIA)","COL-"
"18753024","LUZ GRANDE LOS ANGELES","COL-"
"18753025","PLAYA RICA","COL-"
"18753026","PUERTO LOZADA","COL-"
"18753027","ROVIRA","COL-"
"18753028","YAGUARA II","COL-"
"18756000","SOLANO","COL-"
"18756001","ARARACUARA","COL-"
"18756004","DANUBIO (CAMPO ALEGRE)","COL-"
"18756005","PEÑAS BLANCAS","COL-"
"18756006","CUEMANI","COL-"
"18756007","MONONGUETE","COL-"
"18756008","PUERTO TEJADA","COL-"
"18756009","PEÑA ROJA","COL-"
"18756010","LA MANA","COL-"
"18785000","SOLITA","COL-"
"18785001","KILÓMETRO 28","COL-"
"18785002","KILOMETRO 30","COL-"
"18785003","PUERTO BOLIVIA","COL-"
"18785004","SINAO","COL-"
"18785005","UNION SINCELEJO","COL-"
"18860000","VALPARAÍSO","COL-"
"18860001","SANTIAGO DE LA SELVA","COL-"
"18860002","KILÓMETRO 18","COL-"
"18860005","PLAYA RICA","COL-"
"19001000","POPAYÁN","COL-"
"19001001","CAJETE","COL-"
"19001002","CALIBÍO","COL-"
"19001003","EL CHARCO","COL-"
"19001006","FIGUEROA","COL-"
"19001007","JULUMITO","COL-"
"19001008","LA REJOYA","COL-"
"19001009","LA YUNGA","COL-"
"19001010","LAS MERCEDES","COL-"
"19001011","LAS PIEDRAS","COL-"
"19001013","PUEBLILLO ALTO","COL-"
"19001014","PUELENJE","COL-"
"19001016","SAMANGA","COL-"
"19001017","SAN RAFAEL","COL-"
"19001018","SANTA BARBARA","COL-"
"19001019","SANTA ROSA","COL-"
"19001021","EL SENDERO","COL-"
"19001023","LA MESETA","COL-"
"19001024","EL CANELO","COL-"
"19001025","POBLAZÓN","COL-"
"19001026","SAMUEL SILVERIO","COL-"
"19001027","CRUCERO DE PUELENJE","COL-"
"19001028","EL SALVADOR","COL-"
"19001029","EL TÚNEL","COL-"
"19001030","JULUMITO ALTO","COL-"
"19001031","LA CABUYERA","COL-"
"19001032","LA PLAYA","COL-"
"19001033","LAME","COL-"
"19001034","RÍO BLANCO","COL-"
"19001035","VEREDA DE TORRES","COL-"
"19001036","EL ARENAL","COL-"
"19001037","JARDINES DE PAZ","COL-"
"19001038","LA FORTALEZA","COL-"
"19001039","PARCELACION ATARDECERES DE LA PRADERA","COL-"
"19022000","ALMAGUER","COL-"
"19022001","CAQUIONA","COL-"
"19022003","TABLÓN","COL-"
"19022004","LLACUANAS","COL-"
"19022009","SAUJO","COL-"
"19022013","SAN JORGE HERRADURA","COL-"
"19022014","LA HONDA","COL-"
"19050000","ARGELIA","COL-"
"19050001","EL MANGO","COL-"
"19050002","LA BELLEZA","COL-"
"19050003","BETANIA","COL-"
"19050005","EL DIVISO","COL-"
"19050006","EL PLATEADO","COL-"
"19050007","SINAÍ","COL-"
"19050010","EL NARANJAL","COL-"
"19050011","BOTAFOGO","COL-"
"19050012","CRISTALES ALTO","COL-"
"19050013","EL PLAN","COL-"
"19050014","LAS PERLAS","COL-"
"19050015","PUENTE TIERRA","COL-"
"19050016","PUERTO RICO","COL-"
"19050017","SAN JUAN GUADUA","COL-"
"19075000","BALBOA","COL-"
"19075001","LA PLANADA","COL-"
"19075002","OLAYA","COL-"
"19075003","SAN ALFONSO","COL-"
"19075005","LA BERMEJA","COL-"
"19075006","PURETO","COL-"
"19075007","GUADALITO","COL-"
"19075008","LA LOMITA","COL-"
"19075009","EL VIJAL","COL-"
"19075010","BERMEJA ALTA","COL-"
"19075011","PARAOSO","COL-"
"19100000","BOLÍVAR","COL-"
"19100001","CAPELLANOAS","COL-"
"19100003","CHALGUAYACO","COL-"
"19100005","EL CARMEN","COL-"
"19100006","EL RODEO","COL-"
"19100007","GUACHICONO","COL-"
"19100013","LERMA","COL-"
"19100015","LOS MILAGROS","COL-"
"19100016","LOS RASTROJOS","COL-"
"19100018","MELCHOR","COL-"
"19100019","SAN JOSE DEL MORRO","COL-"
"19100020","SAN JUAN","COL-"
"19100021","SAN LORENZO","COL-"
"19100022","SAN MIGUEL","COL-"
"19100038","LA ESPERANZA","COL-"
"19100041","LA CARBONERA","COL-"
"19100042","EL MORRO","COL-"
"19100044","VILLA NUEVA","COL-"
"19100049","CIMARRONAS","COL-"
"19110000","BUENOS AIRES","COL-"
"19110006","EL PORVENIR","COL-"
"19110007","HONDURAS","COL-"
"19110008","LA BALSA","COL-"
"19110010","SAN IGNACIO","COL-"
"19110012","TIMBA","COL-"
"19110013","EL CERAL","COL-"
"19110016","SAN FRANCISCO","COL-"
"19110017","LA VENTURA","COL-"
"19110020","EL LLANITO","COL-"
"19110025","PALOBLANCO","COL-"
"19110026","BELLAVISTA","COL-"
"19110029","LA ESPERANZA","COL-"
"19110030","MUNCHIQUE","COL-"
"19130000","CAJIBÍO","COL-"
"19130001","CAMPOALEGRE","COL-"
"19130002","CHAUX","COL-"
"19130003","DINDE","COL-"
"19130004","EL CARMELO","COL-"
"19130005","EL ROSARIO","COL-"
"19130006","LA CAPILLA","COL-"
"19130007","LA PEDREGOSA","COL-"
"19130008","LA VENTA","COL-"
"19130010","ORTEGA","COL-"
"19130013","EL TUNEL","COL-"
"19130015","CASAS BAJAS","COL-"
"19130016","EL RECUERDO","COL-"
"19137000","CALDONO","COL-"
"19137001","CERRO ALTO","COL-"
"19137002","EL PITAL","COL-"
"19137003","LA AGUADA","COL-"
"19137004","PESCADOR","COL-"
"19137005","PIOYA","COL-"
"19137006","PLAN DE ZUÑIGA","COL-"
"19137007","PUEBLO NUEVO","COL-"
"19137008","SIBERIA","COL-"
"19137011","ANDALUCOA","COL-"
"19137012","GRANADILLO","COL-"
"19142000","CALOTO","COL-"
"19142001","CAMPO ALEGRE","COL-"
"19142004","EL PALO","COL-"
"19142005","EL PLACER","COL-"
"19142007","HUASANO","COL-"
"19142009","LA PALOMERA","COL-"
"19142010","LA PLACA","COL-"
"19142011","QUINTERO","COL-"
"19142012","CARPINTERO CHIVERA","COL-"
"19142013","EL ALBA (PARAISO, LOS MANGOS)","COL-"
"19142015","LA ARROBLEDA","COL-"
"19142016","SAN NICOLAS","COL-"
"19142017","SANTA RITA","COL-"
"19142024","LOMA PELADA","COL-"
"19142026","EL PEDREGAL","COL-"
"19142030","CRUCERO DE GUALÍ","COL-"
"19142031","HUELLAS","COL-"
"19142032","ALTO EL PALO","COL-"
"19142034","BODEGA ARRIBA","COL-"
"19142038","EL NILO","COL-"
"19142039","EL GUASIMO","COL-"
"19142044","SANTA ROSA","COL-"
"19142045","TOEZ","COL-"
"19142046","CAICEDO","COL-"
"19142047","EL CREDO","COL-"
"19142048","GUABITO","COL-"
"19142049","LA ESTRELLA","COL-"
"19142050","LOPEZ ADENTRO","COL-"
"19142051","MORALES","COL-"
"19142052","NAPOLES","COL-"
"19142053","PAJARITO","COL-"
"19142054","TIERRERO","COL-"
"19142055","EL VERGEL","COL-"
"19142056","EL PILAMO","COL-"
"19142057","ALTAMIRA","COL-"
"19142058","DOMINGA ALTA","COL-"
"19142059","EL ARRAYAN","COL-"
"19142060","EL CARMELO","COL-"
"19142061","EL CHOCHO","COL-"
"19142062","EL POBLADO","COL-"
"19142063","EL SOCORRO","COL-"
"19142064","GUADUALITO","COL-"
"19142065","GUATABA","COL-"
"19142066","LA BUITRERA","COL-"
"19142067","LA CUCHILLA","COL-"
"19142068","LA GUINEA","COL-"
"19142069","LA QUEBRADA","COL-"
"19142070","LA SELVA","COL-"
"19142071","LA TRAMPA","COL-"
"19142072","LAS AGUAS","COL-"
"19142073","LOS CHORROS","COL-"
"19142074","MARAÑON","COL-"
"19142075","MORALES ARROZAL","COL-"
"19142076","PORVENIR","COL-"
"19142077","VENADILLO","COL-"
"19142078","VISTA HERMOSA","COL-"
"19212000","CORINTO","COL-"
"19212001","EL JAGUAL","COL-"
"19212004","MEDIA NARANJA","COL-"
"19212005","RIONEGRO","COL-"
"19212008","SAN RAFAEL","COL-"
"19212009","EL BARRANCO","COL-"
"19212010","QUEBRADITAS","COL-"
"19212011","EL PEDREGAL","COL-"
"19212012","LA LAGUNA","COL-"
"19212013","LA MAROA","COL-"
"19256000","EL TAMBO","COL-"
"19256001","ALTO DEL REY","COL-"
"19256002","BARAYA","COL-"
"19256003","BETANIA","COL-"
"19256004","CUATRO ESQUINAS","COL-"
"19256005","CHAPA","COL-"
"19256006","CHISQUOO","COL-"
"19256007","EL PLACER","COL-"
"19256009","EL ZARZAL","COL-"
"19256010","GAMBOA","COL-"
"19256011","NUEVA GRANADA","COL-"
"19256012","HUISITO","COL-"
"19256013","LA ALIANZA","COL-"
"19256014","LA PAZ","COL-"
"19256015","LOS ANAYES","COL-"
"19256016","LOS ANDES","COL-"
"19256017","LOS ANGELES","COL-"
"19256018","MOSQUERA","COL-"
"19256019","PANDIGUANDO","COL-"
"19256020","PIAGUA","COL-"
"19256021","PUERTO RICO","COL-"
"19256022","QUILCACE","COL-"
"19256023","RONDON","COL-"
"19256024","SABANETAS","COL-"
"19256025","SAN JOAQUON","COL-"
"19256026","SAN JUAN DE MECHENQUE","COL-"
"19256027","SEGUENGUE","COL-"
"19256028","URIBE","COL-"
"19256029","VILLA AL MAR","COL-"
"19256030","LA LAGUNA","COL-"
"19256031","BUENA VISTA","COL-"
"19256032","LAS BOTAS","COL-"
"19256033","CABUYAL","COL-"
"19256034","EL CRUCERO DEL PUEBLO","COL-"
"19256035","LA ROMELIA","COL-"
"19256036","PLAYA RICA","COL-"
"19256037","PUERTA LLAVE","COL-"
"19256038","ROO HONDO","COL-"
"19256039","VEINTE DE JULIO","COL-"
"19256040","EL RETIRO","COL-"
"19256041","CALICHALES","COL-"
"19256042","EL HIGUERON","COL-"
"19256043","EL OCHENTAYUNO (LA GALLERA)","COL-"
"19256044","GUAZARAVITA","COL-"
"19256045","LA BANDA","COL-"
"19256046","LA CUCHILLA","COL-"
"19256047","LAS PIEDRAS","COL-"
"19256048","LAS HUERTAS","COL-"
"19256049","LOS LLANOS","COL-"
"19256050","ROO SUCIO","COL-"
"19256051","MURGUEITIO","COL-"
"19256052","PEPITAL","COL-"
"19256053","JUANA CASTAÑA","COL-"
"19256054","LA VENTANA","COL-"
"19256055","MONTERREDONDO","COL-"
"19256056","LA PALOMA","COL-"
"19256057","SAN ANTONIO","COL-"
"19290000","FLORENCIA","COL-"
"19290001","EL ROSARIO","COL-"
"19290002","MARSELLA","COL-"
"19300000","GUACHENÉ","COL-"
"19300001","EL CENTRO","COL-"
"19300002","VEREDAS NORORIENTALES","COL-"
"19300003","VEREDAS UNIDAS","COL-"
"19318000","GUAPÍ","COL-"
"19318001","ALFONSO LOPEZ (BALSITAS)","COL-"
"19318002","BENJAMON HERRERA (SAN VICENTE)","COL-"
"19318003","CALLELARGA","COL-"
"19318004","CONCEPCION DE GUAJUO","COL-"
"19318005","EL CARMELO","COL-"
"19318007","LA SOLEDAD","COL-"
"19318008","LIMONES","COL-"
"19318010","OLAYA HERRERA (GUARE)","COL-"
"19318011","ROSARIO","COL-"
"19318012","SAN AGUSTÍN","COL-"
"19318013","SAN ANTONIO DE GUAJUO","COL-"
"19318014","SAN FRANCISCO","COL-"
"19318015","URIBE URIBE (EL NARANJO)","COL-"
"19318016","BOCA DE NAPO","COL-"
"19318017","EL ATAJO","COL-"
"19318018","LLANTON","COL-"
"19318019","SANTA CLARA","COL-"
"19318020","CASCAJERO","COL-"
"19318021","CHAMON","COL-"
"19318022","CHANZARA","COL-"
"19318023","LAS JUNTA","COL-"
"19318024","QUIROGA","COL-"
"19318025","CHUARE","COL-"
"19318026","SAN JOSÉ DE GUAPI","COL-"
"19318027","BELEN","COL-"
"19355000","INZÁ","COL-"
"19355001","CALDERAS","COL-"
"19355002","PEDREGAL","COL-"
"19355003","PUERTO VALENCIA","COL-"
"19355004","SAN ANDRÉS","COL-"
"19355005","SAN JOSE","COL-"
"19355006","SANTA ROSA","COL-"
"19355007","TOPA","COL-"
"19355008","TUMBICHUCUE","COL-"
"19355009","TURMINÁ","COL-"
"19355010","SANTA TERESA","COL-"
"19355011","GUANACAS","COL-"
"19355012","CARMEN DE VIBORAL","COL-"
"19355013","LOS ALPES","COL-"
"19355014","SAN MIGUEL","COL-"
"19355015","SEGOVIA","COL-"
"19364000","JAMBALÓ","COL-"
"19364001","LA MAROA - EL TRAPICHE","COL-"
"19364002","LA MINA","COL-"
"19364003","LOMA REDONDA","COL-"
"19364004","VALLES HONDOS","COL-"
"19364005","LA ESPERANZA","COL-"
"19364006","LOMA GRUESA","COL-"
"19392000","LA SIERRA","COL-"
"19392005","LA CUCHILLA","COL-"
"19397000","LA VEGA","COL-"
"19397001","ALTAMIRA","COL-"
"19397002","ARBELA","COL-"
"19397003","EL DIVISO","COL-"
"19397004","EL PALMAR","COL-"
"19397005","GUACHICONO","COL-"
"19397006","LOS UVOS","COL-"
"19397007","PANCITARÁ","COL-"
"19397008","PLACER","COL-"
"19397009","SAN MIGUEL","COL-"
"19397010","SANTA BÁRBARA","COL-"
"19397011","SANTA JUANA","COL-"
"19397012","ALBANIA","COL-"
"19397013","CHAUPILOMA","COL-"
"19397014","DOMINICAL","COL-"
"19397015","LA CARRERA","COL-"
"19397016","LOS CIRUELOS","COL-"
"19397017","VILLA MAROA","COL-"
"19397018","BARBILLAS","COL-"
"19397019","SANTA RITA","COL-"
"19418000","LÓPEZ","COL-"
"19418001","AGUA CLARA (GOLONDRO)","COL-"
"19418002","ALTO DE CHUARE","COL-"
"19418003","EL PLAYON (SIGUO)","COL-"
"19418004","EL TRAPICHE","COL-"
"19418005","GUAYABAL","COL-"
"19418006","JOLO","COL-"
"19418007","LA CONCEPCION","COL-"
"19418008","LA SAGRADA FAMILIA","COL-"
"19418009","NOANAMITO","COL-"
"19418010","PLAYA GRANDE","COL-"
"19418011","ROO MAYA (DOS QUEBRADAS)","COL-"
"19418012","SAN ANTONIO DE CHUARE","COL-"
"19418013","SAN BARTOLO","COL-"
"19418014","SAN FERNANDO","COL-"
"19418015","SAN ISIDRO","COL-"
"19418016","SAN PEDRO DE NAYA","COL-"
"19418017","SANTA ANA","COL-"
"19418018","TAPARAL","COL-"
"19418019","ZARAGOZA","COL-"
"19418020","CANDELARIA","COL-"
"19418021","BAJO SIGUO","COL-"
"19418022","EL COCO","COL-"
"19418023","SAN FRANCISCO ADENTRO","COL-"
"19418024","BETANIA","COL-"
"19418025","CACAO","COL-"
"19418026","CALLE LARGA - NAYA","COL-"
"19418027","CHIGUERO","COL-"
"19418028","ALTO NAYA","COL-"
"19418029","ELTRUENO","COL-"
"19418030","LAS CRUCES","COL-"
"19418031","LAS PAVAS","COL-"
"19418032","SAN ANTONIO DE GURUMENDY","COL-"
"19418033","BOCA GRANDE","COL-"
"19418034","BRAZO DE LA ROTURA","COL-"
"19418035","SANTA CRUZ DE SIGUÍN","COL-"
"19450000","MERCADERES","COL-"
"19450001","ALTO DE MAYO","COL-"
"19450002","ARBOLEDAS","COL-"
"19450003","EL PILON","COL-"
"19450004","ESMERALDAS","COL-"
"19450006","SAN JOAQUÍN","COL-"
"19450007","SAN JUANITO","COL-"
"19450008","TABLONES ALTOS","COL-"
"19450009","CAJAMARCA","COL-"
"19450015","EL BADO","COL-"
"19450016","TABLONCITO","COL-"
"19450017","EL CARBONERO","COL-"
"19450019","MOJARRAS","COL-"
"19450020","LOS LLANOS","COL-"
"19450021","LOS MEDIOS","COL-"
"19455000","MIRANDA","COL-"
"19455003","LA MUNDA","COL-"
"19455004","MONTERREDONDO","COL-"
"19455005","ORTIGAL","COL-"
"19455007","SANTA ANA","COL-"
"19455008","TIERRADURA","COL-"
"19455009","TULIPAN","COL-"
"19455010","GUATEMALA","COL-"
"19455011","SAN ANDRES","COL-"
"19473000","MORALES","COL-"
"19473002","CARPINTERO","COL-"
"19473003","CHIMBORAZO","COL-"
"19473004","HONDURAS","COL-"
"19473008","PAN DE AZUCAR","COL-"
"19473009","SAN ISIDRO","COL-"
"19473012","SANTA ROSA","COL-"
"19473014","LA ESTACION","COL-"
"19473017","EL ROSARIO","COL-"
"19513000","PADILLA","COL-"
"19513001","YARUMALES","COL-"
"19513003","LA PAILA","COL-"
"19513004","EL CHAMIZO","COL-"
"19513008","CUERNAVACA","COL-"
"19517000","BELALCÁZAR","COL-"
"19517001","ARAUJO","COL-"
"19517002","AVIRAMA","COL-"
"19517003","COHETANDO","COL-"
"19517004","CHINAS","COL-"
"19517005","EL COLORADO","COL-"
"19517006","HUILA","COL-"
"19517007","ITAIBE","COL-"
"19517009","LAME","COL-"
"19517010","LA PALMA","COL-"
"19517011","MOSOCO","COL-"
"19517012","RICAURTE","COL-"
"19517013","RIOCHIQUITO","COL-"
"19517014","SAN LUIS (POTRERILLO)","COL-"
"19517015","TALAGA","COL-"
"19517016","TÓEZ","COL-"
"19517017","LA MESA DE TOGOIMA","COL-"
"19517018","VILLA RODROGUEZ","COL-"
"19517019","VITONCO","COL-"
"19517022","LA TROJA","COL-"
"19517023","ARANZAZU","COL-"
"19517024","EL CABUYO","COL-"
"19517025","LA CEJA","COL-"
"19517026","SAN JOSE","COL-"
"19517027","TARAVIRA","COL-"
"19517028","CUETANDO","COL-"
"19517030","COQUIYO","COL-"
"19517031","CHACHUCUE","COL-"
"19517032","EL RODEO","COL-"
"19517033","GUADUALEJO","COL-"
"19517034","GUAPIO","COL-"
"19517035","GUAQUIYO","COL-"
"19517036","LA ESMERALDA","COL-"
"19517037","LA MAROA","COL-"
"19517038","LAURELES","COL-"
"19517039","MESA DE CALOTO","COL-"
"19517040","MESA DE TALAGA","COL-"
"19517041","SAN MIGUEL","COL-"
"19517042","TALAGA VIEJO","COL-"
"19517043","VICANENGA","COL-"
"19532000","EL BORDO","COL-"
"19532001","BRISAS","COL-"
"19532003","DON ALONSO","COL-"
"19532004","GALÍNDEZ","COL-"
"19532005","LA FONDA","COL-"
"19532006","LA MESA","COL-"
"19532007","LAS TALLAS","COL-"
"19532008","PATÍA","COL-"
"19532009","PIEDRASENTADA","COL-"
"19532010","PAN DE AZÚCAR","COL-"
"19532012","SAJANDO","COL-"
"19532013","EL ESTRECHO","COL-"
"19532014","EL HOYO","COL-"
"19532016","ANGULO","COL-"
"19532018","EL PLACER","COL-"
"19532019","EL PURO","COL-"
"19532022","SACHAMATES","COL-"
"19532023","SANTA ROSA BAJA","COL-"
"19532024","VERSALLES","COL-"
"19532025","SANTA CRUZ","COL-"
"19532026","BETANIA","COL-"
"19532028","MENDEZ","COL-"
"19532029","QUEBRADA OSCURA","COL-"
"19532031","GUAYABAL","COL-"
"19533000","PIAMONTE","COL-"
"19533001","CAMPO ALEGRE","COL-"
"19533002","EL REMANSO","COL-"
"19533003","MIRAFLOR","COL-"
"19533004","YAPURA","COL-"
"19548000","PIENDAMÓ","COL-"
"19548001","TUNÍA","COL-"
"19573000","PUERTO TEJADA","COL-"
"19573001","BOCAS DEL PALO","COL-"
"19573002","LAS BRISAS","COL-"
"19573003","SAN CARLOS","COL-"
"19573004","ZANJON RICO","COL-"
"19573005","PERICO NEGRO","COL-"
"19585000","COCONUCO","COL-"
"19585004","PURACÉ","COL-"
"19585007","SANTA LETICIA","COL-"
"19585009","PALETARA","COL-"
"19622000","ROSAS","COL-"
"19622001","GUALOTO","COL-"
"19622002","PÁRRAGA","COL-"
"19622003","MARQUEZ","COL-"
"19622004","UFUGU","COL-"
"19622005","LOMABAJO","COL-"
"19622006","LOMBAJO","COL-"
"19622007","CEFIRO","COL-"
"19622008","DIVISO","COL-"
"19622009","LOMAGRANDE","COL-"
"19622010","MARQUES","COL-"
"19622011","SAUCE","COL-"
"19693000","SAN SEBASTIÁN","COL-"
"19693001","EL ROSAL","COL-"
"19693002","MARMATO","COL-"
"19693003","PARAMILLOS","COL-"
"19693004","SANTIAGO","COL-"
"19693005","VALENCIA","COL-"
"19693006","VENECIA","COL-"
"19698000","SANTANDER DE QUILICHAO","COL-"
"19698001","EL PALMAR","COL-"
"19698002","EL TURCO","COL-"
"19698004","LA ARROBLEDA","COL-"
"19698007","MONDOMO","COL-"
"19698008","PARAMILLO","COL-"
"19698009","SAN RAFAEL","COL-"
"19698010","TRES QUEBRADAS","COL-"
"19698013","SAN ANTONIO","COL-"
"19698014","SAN PEDRO","COL-"
"19698015","AGUA AZUL","COL-"
"19698017","DOMINGUILLO","COL-"
"19698018","EL CRUCERO","COL-"
"19698020","QUINAMAYO","COL-"
"19698022","LLANO DE ALEGRÍAS","COL-"
"19698024","CAMBALACHE","COL-"
"19698025","EL BROCHE","COL-"
"19698026","EL LLANITO","COL-"
"19698027","EL TAJO","COL-"
"19698028","LA AGUSTINA","COL-"
"19698029","LA CAPILLA","COL-"
"19698030","LA CHAPA","COL-"
"19698031","LA PALOMERA","COL-"
"19698032","LA QUEBRADA","COL-"
"19698033","LOMITAS ABAJO","COL-"
"19698034","LOMITAS ARRIBA","COL-"
"19698035","LOURDES","COL-"
"19698037","SAN JOSÉ","COL-"
"19698043","BELLAVISTA","COL-"
"19701000","SANTA ROSA","COL-"
"19701001","DESCANSE","COL-"
"19701002","EL CARMELO","COL-"
"19701004","SANTA CLARA","COL-"
"19701005","SANTA MARTHA","COL-"
"19701006","SAN JUAN DE VILLALOBOS","COL-"
"19701012","SAN JUAN","COL-"
"19701013","VILLA MOSQUERA","COL-"
"19701014","CURIACO","COL-"
"19701015","SECTOR MANDIYACO","COL-"
"19743000","SILVIA","COL-"
"19743001","GUAMBIA","COL-"
"19743002","PITAYO","COL-"
"19743003","QUICHAYÁ","COL-"
"19743004","PUEBLECITO","COL-"
"19743005","USENDA","COL-"
"19743006","VALLE NUEVO","COL-"
"19743007","LA ESTRELLA","COL-"
"19743008","LA CAMPANA","COL-"
"19743009","EL CACIQUE","COL-"
"19743010","PUENTE REAL","COL-"
"19743011","MENDEZ","COL-"
"19743012","MIRAFLORES","COL-"
"19743013","SAN PEDRO DEL BOSQUE","COL-"
"19743014","TUMBURAO","COL-"
"19743015","ALTO GRANDE","COL-"
"19743016","LA AGUADA","COL-"
"19743017","LAGUNA SECA","COL-"
"19743018","LOMA DEL CARMEN","COL-"
"19743019","SAN ANTONIO","COL-"
"19743020","MICHAMBE","COL-"
"19743021","LA OVEJERA","COL-"
"19743022","EL SALADO","COL-"
"19760000","PAISPAMBA","COL-"
"19760001","CHAPA","COL-"
"19760002","CHIRIBOO","COL-"
"19760003","EL CRUCERO","COL-"
"19760004","HATOFROO","COL-"
"19760005","LA PAZ","COL-"
"19760006","PIEDRA DE LEON","COL-"
"19760007","RÍO BLANCO","COL-"
"19760008","BUENAVISTA","COL-"
"19760009","SACHACOCO","COL-"
"19760010","EL CARMEN","COL-"
"19760011","PUEBLOQUEMADO","COL-"
"19780000","SUÁREZ","COL-"
"19780001","EL HATO","COL-"
"19780002","LA MESETA","COL-"
"19780003","ASNAZU","COL-"
"19780004","GELIMA LA TOMA","COL-"
"19780005","MATECANA","COL-"
"19780006","BELLAVISTA","COL-"
"19780007","LA ROMA","COL-"
"19780008","LA BETULIA","COL-"
"19780009","MINDALA","COL-"
"19780010","AGUA CLARA CANELAR","COL-"
"19785000","SUCRE","COL-"
"19785001","EL PARAOSO","COL-"
"19785002","CASCADAS","COL-"
"19785003","CRUCERO BELLO","COL-"
"19785004","EL CARMELO","COL-"
"19785005","EL FRESNO","COL-"
"19785006","EL RETIRO","COL-"
"19785007","EL TESORO","COL-"
"19785008","LA CEJA","COL-"
"19785009","LA CUMBRE","COL-"
"19785010","MAZAMORRAS","COL-"
"19785011","TEQUENDAMA","COL-"
"19807000","TIMBÍO","COL-"
"19807001","CAMPOSANO","COL-"
"19807002","CINCODIAS","COL-"
"19807007","CRUCES","COL-"
"19807013","ANTOMORENO","COL-"
"19807014","LA MARTICA","COL-"
"19807015","SANTA MAROA","COL-"
"19809000","TIMBIQUÍ","COL-"
"19809001","BUBUEY","COL-"
"19809002","CAMARONES","COL-"
"19809003","COTEJE","COL-"
"19809004","EL CUERVAL","COL-"
"19809005","PETE","COL-"
"19809006","SAN BERNARDO","COL-"
"19809007","SAN JOSÉ","COL-"
"19809008","SANTA MARÍA","COL-"
"19809009","SANTA ROSA DE SAIJA","COL-"
"19809010","CHETE","COL-"
"19809011","BOCA DE PATÍA","COL-"
"19809012","EL CHARCO","COL-"
"19809013","EL REALITO","COL-"
"19809014","CHACON","COL-"
"19809015","BRAZO CORTO","COL-"
"19809016","INFO","COL-"
"19809017","LLANO GRANDE","COL-"
"19809018","CUPI","COL-"
"19809019","SOLEDAD DE YANTON","COL-"
"19809020","SAN MIGUEL","COL-"
"19809021","COROZAL","COL-"
"19809022","CABECITAL","COL-"
"19809023","PUERTO SAIJA","COL-"
"19809024","ANGOSTURA","COL-"
"19809025","GUANGUI","COL-"
"19821000","TORIBÍO","COL-"
"19821004","NATALA","COL-"
"19821005","SAN FRANCISCO","COL-"
"19821006","SANTO DOMINGO","COL-"
"19821007","TACUEYO","COL-"
"19824000","TOTORÓ","COL-"
"19824002","GABRIEL LÓPEZ","COL-"
"19824004","PANIQUITÁ","COL-"
"19824005","POLINDARA","COL-"
"19845000","VILLA RICA","COL-"
"19845001","AGUA AZUL","COL-"
"19845002","CANTARITO","COL-"
"19845003","CHALO","COL-"
"19845004","GALLINAZA","COL-"
"19845005","JUAN IGNACIO","COL-"
"19845006","PRIMAVERA","COL-"
"20001000","VALLEDUPAR","COL-"
"20001001","AGUAS BLANCAS","COL-"
"20001002","ATANQUEZ","COL-"
"20001003","BADILLO","COL-"
"20001005","CARACOLÍ","COL-"
"20001006","CHEMESQUEMENA","COL-"
"20001007","GUATAPURÍ","COL-"
"20001009","GUACOCHE","COL-"
"20001010","GUAIMARAL","COL-"
"20001011","LA MINA","COL-"
"20001012","LOS VENADOS","COL-"
"20001013","MARIANGOLA","COL-"
"20001014","PATILLAL","COL-"
"20001018","VALENCIA DE JESUS","COL-"
"20001019","CAMPERUCHO","COL-"
"20001022","GUACOCHITO","COL-"
"20001024","LOS CALABAZOS","COL-"
