"Código.Departamento","Código.Municipio","Código.Centro.Poblado","Nombre.Departamento","Nombre.Municipio","Nombre.Centro.Poblado","Tipo.Centro.Poblado","Tipo.de.Municipio","X.","Distrito","Area.Metropolitana"
"05","05001","05001043","ANTIOQUIA","MEDELLIN","LA CRUZ","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001044","ANTIOQUIA","MEDELLIN","LA ESPERANZA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001045","ANTIOQUIA","MEDELLIN","LA FRISOLA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001046","ANTIOQUIA","MEDELLIN","LA GABRIELA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001047","ANTIOQUIA","MEDELLIN","LA LADERA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001048","ANTIOQUIA","MEDELLIN","LA VERDE","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001049","ANTIOQUIA","MEDELLIN","LA VOLCANA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001050","ANTIOQUIA","MEDELLIN","LOS NARANJOS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001051","ANTIOQUIA","MEDELLIN","LLANADITAS","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001052","ANTIOQUIA","MEDELLIN","MATASANO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001053","ANTIOQUIA","MEDELLIN","MATASANO 1","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001054","ANTIOQUIA","MEDELLIN","MATASANO 2","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001055","ANTIOQUIA","MEDELLIN","MAZO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001056","ANTIOQUIA","MEDELLIN","MAZO 1","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001057","ANTIOQUIA","MEDELLIN","MEDIA LUNA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001058","ANTIOQUIA","MEDELLIN","MEDIAN LUNA 1","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001059","ANTIOQUIA","MEDELLIN","MIRADOR DEL POBLADO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001060","ANTIOQUIA","MEDELLIN","OCHO DE MARZO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001061","ANTIOQUIA","MEDELLIN","ORIENTE","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001062","ANTIOQUIA","MEDELLIN","POTRERA MISERENGA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001063","ANTIOQUIA","MEDELLIN","SAN JOSÉ DE LA MONTAÑA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001064","ANTIOQUIA","MEDELLIN","VERSALLES","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001065","ANTIOQUIA","MEDELLIN","YOLOMBO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05002","05002000","ANTIOQUIA","ABEJORRAL","ABEJORRAL","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05002","05002001","ANTIOQUIA","ABEJORRAL","CHAGUALAL","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05002","05002002","ANTIOQUIA","ABEJORRAL","PANTANILLO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05002","05002006","ANTIOQUIA","ABEJORRAL","PURIMA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05002","05002007","ANTIOQUIA","ABEJORRAL","PORTUGAL","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05002","05002010","ANTIOQUIA","ABEJORRAL","EL CAIRO","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05002","05002013","ANTIOQUIA","ABEJORRAL","CANTERAS","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05002","05002015","ANTIOQUIA","ABEJORRAL","EL GUAICO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05002","05002016","ANTIOQUIA","ABEJORRAL","LAS CANOAS","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05004","05004000","ANTIOQUIA","ABRIAQUI","ABRIAQUÍ","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05004","05004002","ANTIOQUIA","ABRIAQUI","LA ANTIGUA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05021","05021000","ANTIOQUIA","ALEJANDRIA","ALEJANDRÍA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05030","05030000","ANTIOQUIA","AMAGA","AMAGÁ","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
